"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 09","347.75","434.25","450.00","337.75","2.49M","-20.29%"
"May 09","436.25","395.00","437.00","390.00","1.21M","10.09%"
"Apr 09","396.25","401.50","407.50","360.50","1.93M","-2.10%"
"Mar 09","404.75","350.00","406.00","337.25","1.15M","15.40%"
"Feb 09","350.75","378.00","383.00","342.00","2.11M","-7.45%"
"Jan 09","379.00","404.00","429.00","358.75","2.05M","-6.88%"
"Dec 08","407.00","350.00","423.75","290.00","1.15M","16.45%"
"Nov 08","349.50","398.00","422.00","336.50","2.40M","-12.95%"
"Oct 08","401.50","494.00","500.00","364.00","2.91M","-17.64%"
"Sep 08","487.50","560.25","579.75","485.50","1.72M","-14.21%"
"Aug 08","568.25","589.00","608.75","485.25","1.31M","-3.28%"
"Jul 08","587.50","722.00","751.50","543.75","890.80K","-18.94%"
"Jun 08","724.75","597.00","765.00","595.75","2.65M","20.94%"
"May 08","599.25","602.00","627.00","572.00","1.31M","-0.17%"
"Apr 08","600.25","570.50","616.00","561.25","2.48M","5.82%"
"Mar 08","567.25","546.00","588.00","503.25","2.23M","3.89%"
"Feb 08","546.00","503.00","547.75","491.00","3.14M","8.93%"
"Jan 08","501.25","456.25","519.25","456.00","2.00M","10.04%"
"Dec 07","455.50","383.75","457.00","382.25","910.81K","18.47%"
"Nov 07","384.50","375.50","394.00","366.50","2.24M","2.40%"
"Oct 07","375.50","373.00","380.00","335.00","2.13M","0.67%"
"Sep 07","373.00","327.50","389.50","319.75","1.18M","15.12%"
"Aug 07","324.00","327.00","354.50","309.50","1.15M","-0.54%"
"Jul 07","325.75","330.00","348.25","308.50","634.04K","-1.14%"
"Jun 07","329.50","390.00","428.75","323.00","2.10M","-15.57%"
"May 07","390.25","364.75","395.75","343.50","1.34M","9.01%"
"Apr 07","358.00","357.00","385.25","343.00","1.80M","-4.41%"
"Mar 07","374.50","425.75","428.50","374.50","1.25M","-11.93%"
"Feb 07","425.25","404.25","437.25","391.50","2.03M","5.26%"
"Jan 07","404.00","389.25","420.50","352.50","2.68M","3.52%"
"Dec 06","390.25","376.75","392.00","349.00","791.45K","3.51%"
"Nov 06","377.00","320.75","378.00","320.50","2.57M","17.54%"
"Oct 06","320.75","263.25","334.00","261.50","3.00M","22.19%"
"Sep 06","262.50","231.50","268.00","222.25","1.55M","13.15%"
"Aug 06","232.00","239.75","248.75","216.75","1.07M","-2.93%"
"Jul 06","239.00","239.25","259.50","235.25","618.47K","1.49%"
"Jun 06","235.50","251.25","260.00","221.00","1.81M","-6.27%"
"May 06","251.25","237.25","264.25","225.75","1.17M","5.46%"
"Apr 06","238.25","235.25","244.00","228.75","1.24M","0.95%"
"Mar 06","236.00","227.25","243.00","217.00","1.11M","3.51%"
"Feb 06","228.00","217.75","228.75","215.25","1.59M","4.23%"
"Jan 06","218.75","215.25","222.00","203.50","1.58M","1.39%"
"Dec 05","215.75","188.00","217.00","186.00","659.54K","15.07%"
"Nov 05","187.50","196.25","199.50","185.75","1.37M","-4.46%"
"Oct 05","196.25","205.25","209.50","196.00","965.89K","-4.50%"
"Sep 05","205.50","201.50","210.00","195.00","578.31K","1.99%"
"Aug 05","201.50","238.00","239.50","200.00","837.66K","-14.80%"
"Jul 05","236.50","215.00","263.25","213.25","489.13K","11.43%"
"Jun 05","212.25","221.25","237.50","209.00","1.50M","-4.39%"
"May 05","222.00","205.00","228.00","195.25","920.14K","8.42%"
"Apr 05","204.75","213.75","215.00","203.00","1.01M","-3.87%"
"Mar 05","213.00","211.50","231.00","203.75","773.54K","-0.70%"
"Feb 05","214.50","197.25","216.50","194.00","988.14K","8.88%"
"Jan 05","197.00","203.50","209.75","195.00","905.62K","-3.79%"
"Dec 04","204.75","192.50","208.75","191.00","362.29K","6.36%"
"Nov 04","192.50","202.00","208.50","192.25","1.21M","-4.94%"
"Oct 04","202.50","205.50","209.50","197.00","923.64K","-1.46%"
"Sep 04","205.50","230.50","234.00","204.00","517.10K","-9.77%"
"Aug 04","227.75","218.75","235.00","215.25","408.89K","4.83%"
"Jul 04","217.25","257.50","259.25","216.50","249.51K","-15.63%"
"Jun 04","257.50","307.50","327.50","254.50","673.09K","-15.30%"
"May 04","304.00","315.75","319.75","283.50","295.86K","-3.95%"
"Apr 04","316.50","319.75","335.25","296.50","756.09K","-1.09%"
"Mar 04","320.00","296.00","321.75","285.00","652.05K","8.02%"
"Feb 04","296.25","274.75","297.75","268.75","930.53K","7.24%"
"Jan 04","276.25","246.00","281.50","245.75","1.11M","12.30%"
"Dec 03","246.00","247.00","255.00","229.00","600.82K","0.41%"
"Nov 03","245.00","246.00","247.25","229.00","986.55K","-0.91%"
"Oct 03","247.25","220.25","251.00","213.25","1.36M","12.26%"
"Sep 03","220.25","230.25","243.50","220.00","578.01K","-5.57%"
"Aug 03","233.25","206.00","234.50","206.00","493.69K","13.23%"
"Jul 03","206.00","228.75","233.00","204.50","310.95K","-9.85%"
"Jun 03","228.50","243.25","248.25","228.00","935.12K","-6.45%"
"May 03","244.25","232.50","262.00","232.50","543.25K","4.94%"
"Apr 03","232.75","236.25","245.25","230.25","724.52K","-1.59%"
"Mar 03","236.50","231.75","240.75","227.25","413.44K","2.05%"
"Feb 03","231.75","237.25","243.00","229.75","778.56K","-2.73%"
